x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity Increment)_mean,Img+Prioception (Velocity Increment)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque Increment)_mean,Img+Prioception (Torque Increment)_stderr
6786162.537562605,0.9886309231199645,0.0014747070226015435,0.0,0.0,0.9865842146653471,0.004130208612750458,0.0429424292441977,0.005106950748464488
6869689.482470785,0.9902420942476193,0.0002733202196111456,0.0,0.0,0.9857186106950305,0.002967981358654992,0.040907160982805606,0.004733435933112129
6953216.427378966,0.9894709348645329,0.0003752026210976213,0.0,0.0,0.9857354572390582,0.003261623900626537,0.04633086090150898,0.007845435396107166
7036743.372287146,0.9905404456277814,0.0007825312410849069,0.0,0.0,0.9857920859269429,0.000807164190817851,0.04374544391586924,0.00947439962256406
7120270.317195326,0.9914196067408172,0.0001847427789028345,0.0,0.0,0.9859705358784998,0.001172472476519153,0.04700495301686671,0.011682280082411864
7203797.262103506,0.9915126237542947,0.0004763090715747523,0.0,0.0,0.9868644629849976,0.0006814062443291898,0.04562449839702978,0.010116933325750213
7287324.207011687,0.9926082497675944,0.001424653946829891,0.0,0.0,0.9871086573214471,0.00014652804388554864,0.04542536490422805,0.01230530195536537
7370851.151919867,0.9937281335735734,0.0008902634276059247,0.0,0.0,0.9869777721768958,0.0007785857048704266,0.037764624919110465,0.007064997320652066
7454378.096828047,0.994461742319666,0.0013336827473896995,0.0,0.0,0.9894479042531029,0.00034079655080236735,0.03873802107293494,0.00209305685574543
7537905.041736227,0.9930829733182599,0.0015127522816176294,0.0,0.0,0.9912283040643999,0.00030203161831717537,0.03445406600989554,0.001905765968654274
7621431.986644408,0.9924972737646369,0.0015863923782663111,0.0,0.0,0.9914397035567027,0.0005083656803027015,0.036620840218180836,0.0038574398470812453
7704958.931552588,0.9913618170572588,0.0008630358227979845,0.0,0.0,0.993011656173021,0.0008395134716752349,0.038870405247802164,0.00536604520794706
7788485.876460768,0.9914319898555446,0.0013581668815353142,0.0,0.0,0.9919859694835753,0.000750444298612895,0.035872985896141955,0.007952670422869363
7872012.821368949,0.9907251865834877,0.0014658928236912028,0.0,0.0,0.9909775857175251,0.0012563468883457015,0.03297527314665721,0.006147609055990852
7955539.766277129,0.9887040609425872,0.0004242669696355679,0.0,0.0,0.9900251777572713,0.0016940418146741832,0.038354753839589424,0.00896943504345159
8039066.711185309,0.9904135323092618,0.00010925418763227271,0.0,0.0,0.9868534223769377,0.0037144435111047458,0.0423667559337983,0.00776871642562286
8122593.656093489,0.9906537564115583,0.0004379251388532479,0.0,0.0,0.9877318884498063,0.002583158051232842,0.03621145081064866,0.00432543015286106
8206120.60100167,0.9908717933713804,0.00041866506189799945,0.0,0.0,0.9870749678208899,0.001919646688420305,0.040484478373554365,0.005474158917083713
8289647.54590985,0.9893027778586753,0.0005311566380879897,0.0,0.0,0.9893314566135157,0.0006017846075665183,0.042535269514629104,0.005326414519818744
8373174.49081803,0.990567605418296,0.0007794567449240414,0.0,0.0,0.9905187116433315,0.0007174543223919883,0.039812740964997644,0.006620321352338613
8456701.43572621,0.9917725723707834,0.0008892504930195519,0.0,0.0,0.9914299700004382,0.0012211997617588052,0.033722712980909196,0.005694674903580428
8540228.380634392,0.9924384293541945,0.0005211383405520482,0.0,0.0,0.9888178115147844,0.0013302095479840474,0.03432525669854084,0.005545176144236041
8623755.325542571,0.9916763256705482,0.0010184598448283251,0.0,0.0,0.9898093204603134,0.0013592818133193797,0.038492640863955555,0.00860803115610368
8707282.270450752,0.9912038106803113,0.0014517758748208874,0.0,0.0,0.9899389802555639,0.001704553444100218,0.04174295676413651,0.006696167859469627
